,Document ID,#FRAGMENT_SUPPRESSED,#REFERENCE_SUPPRESSED,#CITATION_SUPPRESSED,#Golden_Citations,Difference
141,056002.txt,0,15,10,7,8
142,007667.txt,4,0,0,4,0
143,093016.txt,61,0,0,21,40
144,079773.txt,0,32,24,8,24
145,086250.txt,28,0,0,1,27
146,006494.txt,15,0,0,4,11
147,024403.txt,0,6,2,1,5
148,090825.txt,8,0,0,4,4
149,076477.txt,0,16,5,8,8
150,074753.txt,26,0,0,5,21
151,076003.txt,0,14,13,8,6
152,044549.txt,0,7,0,1,6
153,030050.txt,0,8,2,1,7
154,037710.txt,14,0,0,1,13
155,007135.txt,7,0,0,3,4
156,052265.txt,0,26,12,8,18
157,045464.txt,9,0,0,3,6
158,060780.txt,17,0,0,2,15
159,093910.txt,18,0,0,6,12
160,061781.txt,17,0,0,3,14
161,079050.txt,44,0,0,6,38
162,068503.txt,17,0,0,4,13
163,001299.txt,26,0,0,5,21
164,073337.txt,11,0,0,1,10
165,005628.txt,26,0,0,9,17
166,076001.txt,10,0,0,6,4
167,077380.txt,21,0,0,3,18
168,046080.txt,13,0,0,3,10
169,062436.txt,35,0,0,18,17
170,093191.txt,18,0,0,14,4
171,088208.txt,0,5,3,4,1
172,052474.txt,12,0,0,2,10
173,089050.txt,0,4,21,4,0
174,012178.txt,8,0,0,3,5
175,027892.txt,11,0,0,3,8
176,026213.txt,4,0,0,1,3
177,080737.txt,16,0,0,3,13
178,088711.txt,22,0,0,4,18
179,085668.txt,8,0,0,3,5
180,060404.txt,12,0,0,4,8
181,095429.txt,0,35,34,6,29
182,048888.txt,20,0,0,1,19
183,097067.txt,22,0,0,1,21
184,050842.txt,21,0,0,3,18
185,006113.txt,0,12,20,6,6
186,081491.txt,0,17,4,4,13
187,093759.txt,22,0,0,2,20
188,053095.txt,11,0,0,5,6
189,094760.txt,14,0,0,3,11
190,049344.txt,14,0,0,4,10
191,021820.txt,7,0,0,5,2
192,046266.txt,24,0,0,6,18
193,072899.txt,8,0,0,1,7
194,087884.txt,10,0,0,1,9
195,003595.txt,9,0,0,1,8
196,086222.txt,11,0,0,5,6
197,099706.txt,0,10,5,5,5
198,080304.txt,0,8,2,1,7
199,030557.txt,0,14,17,2,12
200,057543.txt,39,0,0,3,36
201,021701.txt,8,0,0,4,4
202,061196.txt,0,7,6,3,4
203,008173.txt,12,0,0,2,10
204,074104.txt,0,6,5,3,3
205,083086.txt,17,0,0,7,10
206,056909.txt,24,0,0,1,23
207,019821.txt,11,0,0,2,9
208,004673.txt,25,0,0,5,20
209,060807.txt,14,0,0,10,4
210,064936.txt,18,0,0,8,10
211,018341.txt,35,0,0,1,34
212,039860.txt,0,17,6,4,13
213,016178.txt,0,3,0,2,1
214,016293.txt,10,0,0,2,8
215,065307.txt,9,0,0,3,6
216,078364.txt,16,0,0,3,13
217,096245.txt,0,7,1,3,4
218,055907.txt,0,17,14,1,16
219,099124.txt,18,0,0,5,13
220,016253.txt,0,14,4,6,8
221,011346.txt,0,12,16,12,0
222,001127.txt,0,3,1,1,2
223,074696.txt,15,0,0,7,8
224,031284.txt,14,0,0,3,11
225,049599.txt,0,5,8,2,3
226,061836.txt,7,0,0,2,5
227,050190.txt,24,0,0,8,16
228,096775.txt,31,0,0,7,24
229,095304.txt,6,0,0,1,5
230,025167.txt,9,0,0,3,6
231,071899.txt,30,0,0,9,21
232,058990.txt,0,3,3,7,-4
233,002788.txt,35,0,0,6,29
234,000418.txt,9,0,0,11,-2
235,039086.txt,6,0,0,1,5
236,099898.txt,19,0,0,2,17
237,069092.txt,7,0,0,2,5
238,029207.txt,21,0,0,10,11
239,021479.txt,37,0,0,4,33
240,083380.txt,30,0,0,2,28
241,053170.txt,14,0,0,3,11
242,067658.txt,0,36,27,9,27
243,052168.txt,0,8,14,6,2
244,083654.txt,23,0,0,17,6
245,051229.txt,25,0,0,8,17
246,023112.txt,16,0,0,5,11
247,049261.txt,0,21,7,1,20
248,006922.txt,0,5,1,1,4
249,000123.txt,15,0,0,4,11
250,024927.txt,7,0,0,1,6
251,085192.txt,0,10,17,3,7
252,058785.txt,28,0,0,2,26
253,013674.txt,14,0,0,3,11
254,073405.txt,2,0,0,1,1
255,087773.txt,9,0,0,3,6
256,011086.txt,20,0,0,6,14
257,050486.txt,0,17,3,7,10
258,034805.txt,0,17,14,8,9
259,040560.txt,5,0,0,1,4
260,018234.txt,0,9,9,5,4
261,055747.txt,12,0,0,1,11
262,050424.txt,7,0,0,12,-5
263,038538.txt,9,0,0,2,7
264,028803.txt,12,0,0,10,2
265,035550.txt,7,0,0,3,4
266,041961.txt,4,0,0,3,1
267,038222.txt,31,0,0,9,22
268,015260.txt,0,9,1,1,8
269,057494.txt,0,8,12,1,7
270,002393.txt,0,15,12,5,10
271,070873.txt,8,0,0,5,3
272,043774.txt,22,0,0,8,14
273,092332.txt,14,0,0,4,10
274,085232.txt,0,7,6,3,4
275,033796.txt,0,11,13,1,10
276,073784.txt,0,21,23,6,15
277,022534.txt,0,8,4,8,0
278,081689.txt,21,0,0,2,19
279,002770.txt,0,15,10,7,8
280,042705.txt,38,0,0,4,34
281,075045.txt,38,0,0,3,35
282,097987.txt,0,6,5,2,4
283,007137.txt,2,0,0,2,0
284,092346.txt,9,0,0,1,8
285,022093.txt,46,0,0,23,23
286,015738.txt,12,0,0,2,10
287,031183.txt,14,0,0,3,11
288,086689.txt,15,0,0,5,10
289,099814.txt,0,9,10,7,2
290,086995.txt,8,0,0,2,6
291,059383.txt,0,16,5,5,11
292,055154.txt,0,15,10,14,1
293,095441.txt,9,0,0,4,5
294,051640.txt,0,53,74,6,47
295,079300.txt,6,0,0,2,4
296,099064.txt,22,0,0,21,1
297,017190.txt,0,16,8,3,13
298,072840.txt,7,0,0,1,6
299,065642.txt,36,0,0,2,34
300,089304.txt,0,17,2,5,12
301,008653.txt,23,0,0,5,18
302,043815.txt,41,0,0,5,36
303,004933.txt,0,3,4,2,1
304,069739.txt,16,0,0,6,10
305,095697.txt,13,0,0,3,10
306,050119.txt,0,6,6,5,1
307,076550.txt,30,0,0,10,20
308,099856.txt,27,0,0,2,25
309,080480.txt,35,0,0,5,30
310,032506.txt,3,0,0,3,0
311,070473.txt,10,0,0,5,5
312,070553.txt,0,5,1,1,4
313,023623.txt,26,0,0,1,25
314,046962.txt,15,0,0,4,11
315,052702.txt,24,0,0,12,12
316,086477.txt,0,15,10,5,10
317,071434.txt,9,0,0,6,3
318,012914.txt,5,0,0,2,3
319,090592.txt,0,12,1,11,1
320,068182.txt,25,0,0,3,22
321,089192.txt,27,0,0,2,25
322,084828.txt,6,0,0,1,5
323,057136.txt,4,0,0,1,3
324,095993.txt,0,4,1,1,3
325,002236.txt,0,51,16,16,35
326,085278.txt,20,0,0,2,18
327,064693.txt,21,0,0,5,16
328,054911.txt,10,0,0,3,7
329,020040.txt,22,0,0,1,21
330,019275.txt,34,0,0,7,27
331,022477.txt,0,25,36,5,20
332,020114.txt,0,4,1,1,3
333,007698.txt,0,27,7,6,21
334,016748.txt,0,7,9,5,2
335,024811.txt,15,0,0,1,14
336,089065.txt,0,14,8,3,11
337,050729.txt,0,4,1,2,2
338,012983.txt,9,0,0,1,8
339,016165.txt,27,0,0,5,22
340,098981.txt,0,17,11,8,9
341,094198.txt,0,6,3,9,-3
342,017738.txt,17,0,0,5,12
343,036746.txt,0,7,1,2,5
344,022823.txt,0,10,1,3,7
345,010822.txt,29,0,0,8,21
346,099108.txt,13,0,0,1,12
347,088234.txt,0,21,81,7,14
348,076138.txt,11,0,0,6,5
349,003516.txt,22,0,0,11,11
350,055104.txt,0,15,6,16,-1
351,049969.txt,11,0,0,4,7
352,055216.txt,0,15,10,7,8
353,033096.txt,22,0,0,7,15
354,028494.txt,17,0,0,5,12
355,007627.txt,25,0,0,2,23
356,002314.txt,9,0,0,4,5
357,092144.txt,0,20,9,8,12
358,078583.txt,0,5,10,1,4
359,057484.txt,13,0,0,4,9
360,088222.txt,5,0,0,5,0
361,002760.txt,9,0,0,4,5
362,055968.txt,5,0,0,1,4
363,097832.txt,12,0,0,3,9
364,083224.txt,6,0,0,3,3
365,076684.txt,0,19,7,2,17
366,005862.txt,12,0,0,6,6
367,049373.txt,40,0,0,10,30
368,049423.txt,6,0,0,8,-2
369,052846.txt,0,10,9,11,-1
370,016020.txt,0,43,33,17,26
371,065680.txt,29,0,0,8,21
372,071437.txt,14,0,0,4,10
373,029445.txt,62,0,0,3,59
374,099439.txt,0,10,3,4,6
375,058297.txt,35,0,0,7,28
376,050382.txt,0,15,9,4,11
377,021359.txt,18,0,0,2,16
378,011450.txt,29,0,0,4,25
379,063855.txt,23,0,0,8,15
380,068655.txt,0,14,22,5,9
381,048137.txt,0,24,96,10,14
382,010024.txt,0,4,1,2,2
383,084981.txt,33,0,0,3,30
384,045251.txt,0,25,32,8,17
385,002656.txt,0,21,14,6,15
386,061177.txt,8,0,0,4,4
387,034622.txt,32,0,0,12,20
388,085874.txt,15,0,0,2,13
389,046762.txt,0,5,1,4,1
390,064365.txt,60,0,0,19,41
391,098353.txt,0,34,29,12,22
392,072166.txt,0,5,3,1,4
393,057595.txt,31,0,0,12,19
394,034379.txt,7,0,0,2,5
395,076685.txt,11,0,0,9,2
396,015220.txt,6,0,0,2,4
397,054233.txt,0,10,27,1,9
398,003992.txt,0,13,15,5,8
399,024269.txt,0,10,16,6,4
400,045545.txt,0,14,9,7,7
401,093797.txt,0,5,1,4,1
402,092078.txt,27,0,0,4,23
403,029713.txt,0,1,0,1,0
404,002449.txt,9,0,0,2,7
405,039051.txt,42,0,0,12,30
406,070433.txt,34,0,0,3,31
407,095714.txt,26,0,0,7,19
408,023744.txt,0,7,3,1,6
409,097277.txt,25,0,0,25,0
410,012328.txt,0,4,3,1,3
411,069632.txt,19,0,0,9,10
412,037588.txt,17,0,0,4,13
413,092975.txt,9,0,0,3,6
414,098780.txt,9,0,0,2,7
415,094548.txt,0,24,11,2,22
416,006926.txt,0,15,5,7,8
417,020111.txt,37,0,0,2,35
418,087656.txt,0,5,4,2,3
419,052260.txt,7,0,0,2,5
420,054027.txt,39,0,0,5,34
421,068739.txt,0,16,9,8,8
422,035918.txt,0,8,1,11,-3
423,033327.txt,0,2,1,1,1
424,057341.txt,66,0,0,2,64
425,077844.txt,0,6,7,2,4
426,027797.txt,8,0,0,2,6
427,037140.txt,0,10,15,3,7
428,034592.txt,3,0,0,3,0
429,056515.txt,32,0,0,8,24
430,028684.txt,0,9,3,10,-1
431,048696.txt,14,0,0,8,6
432,032083.txt,7,0,0,2,5
433,096028.txt,11,0,0,2,9
434,003093.txt,12,0,0,3,9
435,078847.txt,5,0,0,1,4
436,078757.txt,3,0,0,2,1
437,018101.txt,33,0,0,3,30
438,093206.txt,15,0,0,2,13
439,009309.txt,0,20,4,5,15
440,005430.txt,0,11,8,3,8
441,077071.txt,42,0,0,5,37
442,070222.txt,0,24,20,2,22
443,093170.txt,12,0,0,2,10
444,099114.txt,12,0,0,3,9
445,089959.txt,8,0,0,1,7
446,067564.txt,16,0,0,3,13
447,020453.txt,43,0,0,6,37
448,004471.txt,0,15,10,12,3
449,032248.txt,0,4,2,4,0
450,022160.txt,0,9,4,2,7
451,031532.txt,7,0,0,3,4
452,073660.txt,20,0,0,3,17
453,030394.txt,16,0,0,2,14
454,060251.txt,6,0,0,2,4
455,029032.txt,54,0,0,9,45
456,097279.txt,0,3,2,3,0
457,012709.txt,3,0,0,3,0
458,004700.txt,11,0,0,3,8
459,071619.txt,0,7,0,3,4
460,048771.txt,6,0,0,2,4
461,060931.txt,19,0,0,3,16
462,092127.txt,0,10,5,7,3
463,019699.txt,15,0,0,2,13
464,060099.txt,6,0,0,2,4
465,057424.txt,5,0,0,1,4
466,040787.txt,5,0,0,3,2
467,017617.txt,0,3,3,4,-1
468,006704.txt,25,0,0,3,22
469,035790.txt,38,0,0,5,33
470,041466.txt,0,16,11,4,12
471,086288.txt,0,16,12,2,14
472,057191.txt,0,7,9,5,2
473,027869.txt,10,0,0,3,7
474,095324.txt,0,3,8,1,2
475,036387.txt,7,0,0,3,4
476,046626.txt,12,0,0,1,11
477,006756.txt,0,8,4,5,3
478,062394.txt,43,0,0,13,30
479,052609.txt,11,0,0,3,8
480,023013.txt,33,0,0,6,27
481,017471.txt,45,0,0,7,38
482,031383.txt,0,13,6,8,5
483,024179.txt,0,19,9,3,16
484,098965.txt,18,0,0,6,12
485,030902.txt,9,0,0,2,7
486,087285.txt,28,0,0,12,16
487,048376.txt,21,0,0,7,14
488,031664.txt,0,11,4,1,10
489,033703.txt,0,4,2,1,3
490,091228.txt,31,0,0,3,28
491,074679.txt,0,17,16,3,14
492,000998.txt,15,0,0,2,13
493,093286.txt,0,33,17,5,28
494,030675.txt,0,12,10,2,10
495,009186.txt,23,0,0,3,20
496,067329.txt,0,12,7,11,1
497,045194.txt,13,0,0,2,11
498,023818.txt,8,0,0,1,7
499,046349.txt,0,19,29,9,10
500,050237.txt,0,15,19,6,9
501,040690.txt,0,8,3,5,3
502,012111.txt,0,7,4,1,6
503,032116.txt,0,7,5,1,6
504,074582.txt,11,0,0,5,6
505,032453.txt,17,0,0,4,13
506,069228.txt,14,0,0,8,6
507,020264.txt,14,0,0,1,13
508,046310.txt,23,0,0,2,21
509,014419.txt,16,0,0,2,14
510,078432.txt,0,6,4,1,5
511,031074.txt,0,1,1,1,0
512,050998.txt,0,8,5,4,4
513,003218.txt,15,0,0,3,12
514,014837.txt,6,0,0,5,1
515,097961.txt,9,0,0,9,0
516,089448.txt,17,0,0,8,9
517,014510.txt,0,8,0,7,1
518,089515.txt,0,8,3,5,3
519,076286.txt,3,0,0,2,1
520,013332.txt,40,0,0,1,39
521,031140.txt,0,9,2,4,5
522,001153.txt,0,26,13,7,19
523,050437.txt,0,6,11,3,3
524,066012.txt,0,8,6,5,3
525,073095.txt,11,0,0,13,-2
526,042740.txt,16,0,0,2,14
527,001884.txt,20,0,0,5,15
528,091318.txt,5,0,0,3,2
529,022731.txt,12,0,0,1,11
530,049496.txt,10,0,0,1,9
531,022060.txt,26,0,0,6,20
532,039824.txt,8,0,0,4,4
533,027896.txt,18,0,0,7,11
534,033709.txt,0,12,5,3,9
535,075899.txt,6,0,0,1,5
536,089818.txt,0,15,10,17,-2
537,038962.txt,43,0,0,5,38
538,061651.txt,20,0,0,5,15
539,082393.txt,0,7,1,2,5
540,099551.txt,7,0,0,2,5
541,082790.txt,4,0,0,3,1
542,085737.txt,0,12,15,4,8
543,035718.txt,0,1,2,1,0
544,094056.txt,13,0,0,2,11
545,025422.txt,0,1,0,1,0
546,039772.txt,0,19,18,4,15
547,070337.txt,14,0,0,3,11
548,074006.txt,0,6,2,5,1
549,072571.txt,7,0,0,2,5
550,066194.txt,14,0,0,13,1
551,066880.txt,0,4,1,1,3
552,045069.txt,23,0,0,3,20
553,005570.txt,13,0,0,6,7
554,063210.txt,22,0,0,1,21
555,001510.txt,16,0,0,7,9
556,015420.txt,18,0,0,5,13
557,078150.txt,8,0,0,1,7
558,003263.txt,7,0,0,2,5
559,043843.txt,25,0,0,2,23
560,001389.txt,4,0,0,5,-1
561,046489.txt,28,0,0,2,26
562,034676.txt,11,0,0,2,9
563,069213.txt,0,9,12,9,0
564,076442.txt,18,0,0,2,16
565,035247.txt,10,0,0,1,9
566,000085.txt,10,0,0,3,7
567,030683.txt,8,0,0,5,3
568,060653.txt,6,0,0,3,3
569,067501.txt,14,0,0,2,12
570,080135.txt,0,5,4,1,4
571,039769.txt,0,11,6,3,8
572,061521.txt,20,0,0,1,19
573,042761.txt,0,7,11,2,5
574,039421.txt,23,0,0,9,14
575,046336.txt,7,0,0,1,6
576,061878.txt,29,0,0,11,18
577,035016.txt,13,0,0,7,6
578,079913.txt,13,0,0,1,12
579,080908.txt,8,0,0,7,1
580,089468.txt,0,13,4,3,10
581,043573.txt,25,0,0,2,23
582,088672.txt,0,2,1,1,1
583,093861.txt,4,0,0,2,2
584,004108.txt,17,0,0,1,16
585,046017.txt,23,0,0,5,18
586,069510.txt,8,0,0,2,6
587,077322.txt,18,0,0,2,16
588,081113.txt,0,15,16,9,6
589,004492.txt,0,2,0,2,0
590,056205.txt,18,0,0,1,17
591,017025.txt,0,5,3,3,2
592,015327.txt,11,0,0,2,9
593,024224.txt,17,0,0,12,5
594,033720.txt,10,0,0,3,7
595,004393.txt,6,0,0,4,2
596,028416.txt,0,22,11,13,9
597,076491.txt,22,0,0,14,8
598,041621.txt,12,0,0,4,8
599,059429.txt,14,0,0,4,10
600,001947.txt,0,50,48,4,46
601,042206.txt,8,0,0,3,5
602,038947.txt,11,0,0,1,10
603,033823.txt,0,4,2,3,1
604,068987.txt,5,0,0,2,3
605,037440.txt,11,0,0,1,10
606,078963.txt,0,20,23,16,4
607,040257.txt,9,0,0,2,7
608,024807.txt,20,0,0,4,16
609,025385.txt,13,0,0,1,12
610,047695.txt,0,36,16,7,29
611,036382.txt,13,0,0,5,8
612,050936.txt,48,0,0,11,37
613,004066.txt,33,0,0,12,21
614,064116.txt,25,0,0,8,17
615,052454.txt,0,9,2,2,7
616,094946.txt,13,0,0,4,9
617,030370.txt,0,8,5,6,2
618,087384.txt,5,0,0,3,2
619,015031.txt,10,0,0,3,7
620,051820.txt,7,0,0,6,1
621,042691.txt,16,0,0,2,14
622,083279.txt,9,0,0,1,8
623,058993.txt,0,9,27,7,2
624,031336.txt,0,11,8,3,8
625,097104.txt,0,1,1,1,0
626,044933.txt,25,0,0,2,23
627,086570.txt,7,0,0,6,1
628,042957.txt,0,9,8,2,7
629,098829.txt,7,0,0,2,5
630,024404.txt,29,0,0,2,27
631,006909.txt,24,0,0,8,16
632,077346.txt,11,0,0,1,10
633,078657.txt,38,0,0,2,36
634,069178.txt,0,14,7,8,6
635,010578.txt,10,0,0,1,9
636,017699.txt,0,19,33,12,7
637,090936.txt,19,0,0,8,11
638,006842.txt,48,0,0,5,43
639,044932.txt,5,0,0,2,3
640,065387.txt,9,0,0,1,8
641,091378.txt,6,0,0,3,3
642,072069.txt,6,0,0,1,5
643,017698.txt,29,0,0,6,23
644,083342.txt,28,0,0,11,17
645,095055.txt,25,0,0,2,23
646,055545.txt,5,0,0,1,4
647,010127.txt,0,10,3,3,7
648,062618.txt,5,0,0,1,4
649,024429.txt,0,8,1,4,4
650,043298.txt,0,8,21,3,5
651,048500.txt,7,0,0,5,2
652,014007.txt,3,0,0,1,2
653,026998.txt,15,0,0,3,12
654,026185.txt,0,15,5,6,9
655,005978.txt,0,9,1,4,5
656,001093.txt,20,0,0,6,14
657,080457.txt,0,9,0,5,4
658,045483.txt,21,0,0,9,12
659,052683.txt,3,0,0,1,2
660,069976.txt,18,0,0,12,6
661,025194.txt,0,12,4,5,7
662,013029.txt,0,4,2,3,1
663,080529.txt,45,0,0,4,41
664,071181.txt,14,0,0,5,9
665,056324.txt,0,6,0,6,0
666,093729.txt,5,0,0,7,-2
667,066955.txt,0,16,14,2,14
668,061129.txt,28,0,0,1,27
669,021797.txt,0,3,4,2,1
670,040096.txt,20,0,0,3,17
671,082689.txt,36,0,0,2,34
672,076483.txt,0,14,10,9,5
673,062926.txt,2,0,0,1,1
674,009673.txt,9,0,0,4,5
675,045104.txt,0,11,3,2,9
676,078681.txt,10,0,0,1,9
677,008882.txt,0,9,12,6,3
678,039087.txt,25,0,0,3,22
679,078779.txt,20,0,0,6,14
680,048477.txt,6,0,0,1,5
681,088639.txt,16,0,0,2,14
682,003915.txt,0,13,15,5,8
683,050528.txt,19,0,0,3,16
684,081422.txt,0,7,5,7,0
685,076365.txt,14,0,0,1,13
686,013019.txt,0,5,1,1,4
687,045787.txt,14,0,0,7,7
688,072315.txt,28,0,0,8,20
689,072112.txt,32,0,0,15,17
690,070711.txt,17,0,0,1,16
691,042545.txt,0,12,5,3,9
692,074300.txt,0,17,5,2,15
693,091168.txt,0,6,3,2,4
694,074245.txt,0,32,7,21,11
695,036666.txt,0,12,9,11,1
696,021652.txt,0,9,11,2,7
697,087161.txt,0,17,53,8,9
698,045673.txt,0,20,40,1,19
699,073898.txt,5,0,0,2,3
700,038373.txt,0,17,35,15,2
701,049750.txt,0,13,12,1,12
702,097970.txt,0,13,2,2,11
703,008771.txt,19,0,0,9,10
704,085279.txt,0,6,7,5,1
705,022931.txt,12,0,0,5,7
706,074264.txt,0,1,1,1,0
707,022361.txt,10,0,0,1,9
708,005051.txt,0,11,20,3,8
709,024157.txt,7,0,0,4,3
710,060686.txt,36,0,0,13,23
711,007876.txt,11,0,0,7,4
712,031822.txt,8,0,0,4,4
713,089811.txt,0,3,2,1,2
714,095431.txt,14,0,0,13,1
715,055208.txt,9,0,0,2,7
716,031853.txt,0,19,1,11,8
717,060425.txt,27,0,0,2,25
718,031872.txt,0,11,2,5,6
719,071207.txt,13,0,0,4,9
720,042266.txt,38,0,0,4,34
721,029657.txt,8,0,0,2,6
722,002648.txt,0,5,5,1,4
723,040435.txt,14,0,0,1,13
724,046467.txt,34,0,0,2,32
725,050379.txt,7,0,0,5,2
726,041390.txt,11,0,0,3,8
727,020165.txt,0,19,17,18,1
728,082167.txt,18,0,0,5,13
729,022804.txt,29,0,0,10,19
730,096651.txt,30,0,0,2,28
731,029645.txt,14,0,0,3,11
732,065832.txt,12,0,0,6,6
733,098605.txt,4,0,0,4,0
734,043523.txt,28,0,0,1,27
735,000605.txt,0,19,21,7,12
736,008545.txt,61,0,0,2,59
737,015161.txt,13,0,0,13,0
738,014411.txt,4,0,0,1,3
739,017034.txt,12,0,0,1,11
740,027503.txt,0,4,2,2,2
741,049905.txt,0,27,24,5,22
742,094196.txt,0,6,4,5,1
743,003865.txt,7,0,0,4,3
744,005113.txt,0,16,14,15,1
745,039621.txt,55,0,0,11,44
746,072614.txt,19,0,0,2,17
747,026686.txt,16,0,0,1,15
748,089555.txt,28,0,0,11,17
749,010360.txt,0,9,7,2,7
750,092064.txt,29,0,0,1,28
751,032318.txt,21,0,0,3,18
752,068113.txt,14,0,0,3,11
753,017009.txt,69,0,0,25,44
754,014058.txt,12,0,0,5,7
755,041293.txt,0,8,4,10,-2
756,017391.txt,15,0,0,3,12
757,079455.txt,3,0,0,4,-1
758,002669.txt,0,12,5,5,7
759,052909.txt,19,0,0,11,8
760,094410.txt,23,0,0,1,22
761,089577.txt,0,5,1,1,4
762,030546.txt,0,12,9,1,11
763,012587.txt,0,16,2,5,11
764,076990.txt,8,0,0,2,6
765,047264.txt,10,0,0,5,5
766,067620.txt,0,1,0,5,-4
767,025675.txt,0,10,9,3,7
